page	header	sub	nlines
1	—	—	36
2	—	—	1
3	—	—	64
4	—	—	85
5	—	—	161
6	—	—	110
7	—	—	152
8	—	—	102
9	—	—	5
10	P EO P LE • I F.S GENIS • DIE MENSCHEN • L A GENTE • LE PERSONE	body • le corps • der Körper • el cuerpo • ¡I corpo	91
11	P EO P LE • L E S GENS • DIE MENSCHEN • L A GENTE • LE PERSONE	—	75
12	P E O P LE • LES GENS • DIE MENSCHEN • L A GENTE • LE PERSONE	face • le visage • das Gesicht • la cara • la faccia	84
13	PEO PLE • LES GENS • DIE MENSCHEN • LA GENTE • LE PERSONE	—	124
14	PEO PLE • LES GENS • DIE MENSCHEN • LA GENTE • LE PERSONE	—	81
15	PEO PLE • LES GENS • DIE MENSCHEN • L A GENTE • LE PERSONE	skeleton • le squelette • das Skelett • el esqueleto • lo scheletro	130
16	PEO PLE ■ LES GENS • DIE MENSCHEN • LA G E N T E • LE PERSONE	—	75
17	PEO PLE • I FS G E N S • DIE MENSCHEN • L A G E N T E • LE PERSONE	head • la tête • der Kopf • la cabeza • la testa	95
18	P EO P LE • LES GENS • DIE MENSCHEN • I A GENTE • LE PERSONE	—	112
19	PEO PLE • LES GENS • DIE MENSCHEN • LA GENTE • LE PERSONE	—	80
20	P EO P LE • L E S G E N S • DIE MENSCHEN • L A G E N T E • LE PERSONE	family • la famille • die Familie • la familia • la fam iglia	50
21	PEO PLE • LES GENS • DIE MENSCHEN • LA GENTE • LE PERSONE	—	130
22	PEO PLE • LES GENS • DIE MENSCHEN • LA GENTE • LE PERSONE	relationships • les relations • die Beziehungen • las relaciones	67
23	PEO PLE • LES GF NS • DIE MENSCHEN • LA GENTE • LE PERSONE	emotions • les émotions • die Gefühle • las emociones • le emozioni	85
24	PEO PLE • ! ES GENS • DIE MENSCHEN • LA GENTE • LE PERSONE	life events • les événements de la vie • die Ereignisse des Lebens	95
25	PEO PLE • LES GENS • DIE MENSCHEN • LA GENTE • LE PERSONE	celebrations • les fetes • die Feste • las celebraciones • le celebrazioni	60
26	—	—	5
27	A P P E A R A N C E • I.*APPARENCE • DIE ÄUSSERE ERSCHEINUNG • l.A APARIENCIA • L’ASPETTO	—	87
28	A P P E A R A N C E • L ’ A P P A R E N C E • DIE AUSSERE ERSCHEINUNG • LA APARIENCIA • L'ASPETTO	—	122
29	men's clothing • les vêtements pour hommes • die Herrenkleidung	—	120
30	A P P E A R A N C E • L’APPARENCE • DIE ÄUSSERE ERSCHEINUNG • LA APARIENCIA • L’ASPETTO	blazer • le blazer • der Blazer	70
31	A P P E A R A N C E • L’APPARENCE • DIE ÄUSSERE ERSCHEINUNG • LA APARIENCIA • L'ASPETTO	—	81
32	A P P E A R A N C E • l 'APPARENCE • DIE ÄUSSERE ERSCHEINUNG • LA APARIENCIA • L’ASPETTO	—	118
33	A P P E A R A N C E • L’ A P P A R E N C E • DIE ÄUSSERE ERSCHEINUNG • L A A P A R IE N C IA • L'ASPETTO	accessories • les accessoires • die Accessoires • los accesorios	105
34	A P P E A R A N C E • L'APPARENCE • DIE AUSSERE ERSCHEINUNG • l.A APARIENCIA • L’ASPETTO	cuffie bag • le fourre-cuut • die	104
